hash,elapsed_time,retry_time,age,evaluation_status,evaluation_gen,evaluation_start_time,tree,error_string,pickle,FullDataSet Accuracy Score,FullDataSet Num Parameters,id,optimization,generation,hash
302cdce5a0b6f209c51a728fce0bd788a9284edc097f5d444e7dba166fef7f0f,3812.84,0,1,EVALUATED,0,5/1/2021 10:09,"NNLearner(ARG0, OutputLayer(DenseLayer(10, defaultActivation, 10, LSTMLayer(16, defaultActivation, 0, trueBool, trueBool, EmbeddingLayer(90, ARG0, randomUniformWeights, InputLayer())))), 89, AdamOptimizer)",NULL,...,0.0739252,647027,108,0,29,302cdce5a0b6f209c51a728fce0bd788a9284edc097f5d444e7dba166fef7f0f
410151c3ebaba7610d1b47b372f46b6a678a115d69f1c1997d79a9f29dbffe8d,3978.34,0,1,EVALUATED,19,5/1/2021 13:07,"NNLearner(ARG0, OutputLayer(DropoutLayer(100.0, LSTMLayer(16, tanhActivation, 0, trueBool, trueBool, EmbeddingLayer(93, ARG0, randomUniformWeights, InputLayer())))), 91, AdamOptimizer)",NULL,...,0.0729402,674681,109,0,29,410151c3ebaba7610d1b47b372f46b6a678a115d69f1c1997d79a9f29dbffe8d
851ca65adb23dfd12a77b0eaf6a85f87dc3939e5cf1aba1be4cbc7741d926404,561.849,0,1,EVALUATED,10,5/1/2021 11:30,"NNLearner(ARG0, OutputLayer(DenseLayer(10, defaultActivation, 10, FlattenLayer(EmbeddingLayer(5, ARG0, randomUniformWeights, InputLayer())))), myIntAdd(7, 100), SGDOptimizer)",NULL,...,0.1723,50021,110,0,29,851ca65adb23dfd12a77b0eaf6a85f87dc3939e5cf1aba1be4cbc7741d926404
8f2dc0765563c3e3bc9c551461e41f54642f510beeb98cede94e6c5d84422c38,868.042,0,1,EVALUATED,17,5/1/2021 12:03,"NNLearner(ARG0, OutputLayer(MaxPoolingLayer1D(2, EmbeddingLayer(9, ARG0, randomUniformWeights, InputLayer()))), 100, SGDOptimizer)",NULL,...,0.14878,64351,111,0,29,8f2dc0765563c3e3bc9c551461e41f54642f510beeb98cede94e6c5d84422c38
b2872f3eac8d2d5fc3fdc7367277140942d08f8defd181328eb7d64390ab9b59,3727.82,0,1,EVALUATED,0,5/1/2021 8:58,"NNLearner(ARG0, OutputLayer(DenseLayer(10, defaultActivation, 10, LSTMLayer(16, defaultActivation, 0, trueBool, trueBool, EmbeddingLayer(93, ARG0, randomUniformWeights, InputLayer())))), 91, AdamOptimizer)",NULL,...,0.0733327,668411,112,0,29,b2872f3eac8d2d5fc3fdc7367277140942d08f8defd181328eb7d64390ab9b59
d21a1712837a8d53cfb3297557cd14c34ec5ff8f84d0be6f7ea937b9402cffd2,3494.23,0,1,EVALUATED,0,5/1/2021 8:56,"NNLearner(ARG0, OutputLayer(DenseLayer(10, defaultActivation, 10, LSTMLayer(16, defaultActivation, 0, trueBool, trueBool, EmbeddingLayer(94, ARG0, randomUniformWeights, InputLayer())))), 93, AdamOptimizer)",NULL,...,0.0716202,675539,113,0,29,d21a1712837a8d53cfb3297557cd14c34ec5ff8f84d0be6f7ea937b9402cffd2
