hash,elapsed_time,retry_time,age,evaluation_status,evaluation_gen,evaluation_start_time,tree,error_string,pickle,FullDataSet Accuracy Score,FullDataSet Num Parameters,id,optimization,generation,hash
302cdce5a0b6f209c51a728fce0bd788a9284edc097f5d444e7dba166fef7f0f,654.15,0,1,EVALUATED,0,4/26/2021 5:06,"NNLearner(ARG0, OutputLayer(DenseLayer(10, defaultActivation, 10, LSTMLayer(16, defaultActivation, 0, trueBool, trueBool, EmbeddingLayer(90, ARG0, randomUniformWeights, InputLayer())))), 89, AdamOptimizer)",NULL,...,0.0756827,647027,49,1,14,302cdce5a0b6f209c51a728fce0bd788a9284edc097f5d444e7dba166fef7f0f
b2872f3eac8d2d5fc3fdc7367277140942d08f8defd181328eb7d64390ab9b59,578.974,0,1,EVALUATED,0,4/26/2021 4:52,"NNLearner(ARG0, OutputLayer(DenseLayer(10, defaultActivation, 10, LSTMLayer(16, defaultActivation, 0, trueBool, trueBool, EmbeddingLayer(93, ARG0, randomUniformWeights, InputLayer())))), 91, AdamOptimizer)", At least one objective returned inf. ,...,0.0737727,668411,50,1,14,b2872f3eac8d2d5fc3fdc7367277140942d08f8defd181328eb7d64390ab9b59
d21a1712837a8d53cfb3297557cd14c34ec5ff8f84d0be6f7ea937b9402cffd2,556.65,0,1,EVALUATED,0,4/26/2021 6:09,"NNLearner(ARG0, OutputLayer(DenseLayer(10, defaultActivation, 10, LSTMLayer(16, defaultActivation, 0, trueBool, trueBool, EmbeddingLayer(94, ARG0, randomUniformWeights, InputLayer())))), 93, AdamOptimizer)", At least one objective returned inf. ,...,0.0719752,675539,51,1,14,d21a1712837a8d53cfb3297557cd14c34ec5ff8f84d0be6f7ea937b9402cffd2
